Timestamp,Tweets_per_second,EMA,Growth,Threshold
1402607109,2,,,1.5
1402607110,3,,,1.5
1402607111,3,,,1.5
1402607112,1,,,1.5
1402607113,6,,,1.5
1402607114,4,,,1.5
1402607115,3,,,1.5
1402607116,3,,,1.5
1402607117,6,,,1.5
1402607118,4,3.5,,1.5
1402607119,2,3.227272727,,1.5
1402607120,5,3.549586777,,1.5
1402607121,1,3.086025545,,1.5
1402607122,5,3.4340209,,1.5
1402607123,2,3.173289827,,1.5
1402607124,3,3.141782586,,1.5
1402607125,2,2.934185752,,1.5
1402607126,7,3.673424706,,1.5
1402607127,5,3.914620214,0.1184629184,1.5
1402607128,1,3.384689266,0.04877695574,1.5
1402607129,4,3.496563945,-0.01493774771,1.5
1402607130,4,3.588097773,0.1626921817,1.5
1402607131,3,3.481170905,0.01373026157,1.5
1402607132,3,3.393685286,0.06945330266,1.5
1402607133,7,4.049378871,0.2888794051,1.5
1402607134,2,3.67676453,0.2530783123,1.5
1402607135,5,3.917352798,0.06640345475,1.5
1402607136,7,4.477834107,0.143874466,1.5
1402607137,7,4.936409724,0.4584528551,1.5
1402607138,6,5.129789774,0.4670945118,1.5
1402607139,5,5.106191633,0.4230915533,1.5
1402607140,6,5.268702246,0.5134856601,1.5
1402607141,4,5.03802911,0.4845304396,1.5
1402607142,6,5.212932908,0.2873413614,1.5
1402607143,3,4.81058147,0.3083735525,1.5
1402607144,3,4.481384839,0.1439829576,1.5
1402607145,2,4.030223959,-0.09996130651,1.5
1402607146,3,3.842910512,-0.2215171092,1.5
1402607147,3,3.689654056,-0.2807397149,1.5
1402607148,4,3.746080591,-0.2663650603,1.5
1402607149,2,3.428611393,-0.3492493535,1.5
1402607150,3,3.350682048,-0.3349220548,1.5
1402607151,3,3.286921676,-0.3694678727,1.5
1402607152,8,4.143845008,-0.1385978944,1.5
1402607153,3,3.935873188,-0.1217283654,1.5
1402607154,2,3.583896245,-0.1107451395,1.5
1402607155,2,3.295915109,-0.1423388344,1.5
1402607156,8,4.151203271,0.125092816,1.5
1402607157,1,3.578257222,-0.04479972196,1.5
1402607158,3,3.473119545,0.01298139323,1.5
1402607159,3,3.38709781,0.01086816379,1.5
1402607160,8,4.225807299,0.2856428341,1.5
1402607161,2,3.821115063,-0.07788176061,1.5
1402607162,3,3.671821415,-0.06708848596,1.5
1402607164,4,3.731490249,0.04118255489,1.5
1402607165,2,3.41667384,0.03663890798,1.5
1402607166,6,3.886369505,-0.06379686773,1.5
1402607167,1,3.36157505,-0.06055522529,1.5
1402607168,4,3.477652313,0.001305099963,1.5
1402607169,1,3.027170075,-0.1062643465,1.5
1402607170,2,2.840411879,-0.3278415985,1.5
1402607171,3,2.869427901,-0.2490600639,1.5
1402607172,3,2.893168283,-0.2120618201,1.5
1402607173,3,2.912592231,-0.219456025,1.5
1402607174,5,3.292120917,-0.03645443757,1.5
1402607175,6,3.784462568,-0.02622162844,1.5
1402607176,8,4.550923919,0.3538070256,1.5
1402607177,3,4.268937752,0.227534373,1.5
1402607179,2,3.856403615,0.2739302782,1.5
1402607180,3,3.700693867,0.302872268,1.5
1402607181,2,3.3914768,0.1819348376,1.5
1402607182,5,3.683935564,0.2733222557,1.5
1402607183,5,3.923220007,0.346985673,1.5
1402607184,5,4.118998187,0.2511685603,1.5
1402607185,4,4.097362153,0.08268005817,1.5
1402607186,3,3.897841762,-0.1435054,1.5
1402607187,3,3.734597805,-0.1251692993,1.5
1402607188,3,3.601034568,-0.06621948143,1.5
1402607189,4,3.673573737,-0.007328390519,1.5
1402607190,2,3.369287603,-0.006542635688,1.5
1402607191,3,3.302144403,-0.1036367642,1.5
1402607192,1,2.883572693,-0.2649984737,1.5
1402607193,5,3.268377658,-0.2065115086,1.5
1402607194,2,3.037763538,-0.2586050672,1.5
1402607195,2,2.849079259,-0.26906236,1.5
1402607196,2,2.694701212,-0.2784494202,1.5
1402607197,6,3.295664628,-0.08480061338,1.5
1402607198,3,3.241907423,-0.1175058255,1.5
1402607199,7,3.925196982,0.1649931512,1.5
1402607200,2,3.575161167,0.08267862675,1.5
1402607201,4,3.652404591,0.2666247673,1.5
1402607202,4,3.715603757,0.1368342785,1.5
1402607203,3,3.585493983,0.1803071363,1.5
1402607204,6,4.024495077,0.4125598874,1.5
1402607205,5,4.201859608,0.5593044565,1.5
1402607206,4,4.165157861,0.2638294037,1.5
1402607207,1,3.589674614,0.1072724004,1.5
1402607208,3,3.482461048,-0.1127933035,1.5
1402607210,5,3.758377221,0.05124693545,1.5
1402607211,1,3.25685409,-0.1082986541,1.5
1402607212,4,3.391971528,-0.08710084547,1.5
1402607213,4,3.502522159,-0.02314097411,1.5
1402607214,2,3.229336312,-0.1975797583,1.5
1402607215,3,3.187638801,-0.2413742728,1.5
1402607216,5,3.517159019,-0.1555760583,1.5
1402607217,3,3.423130106,-0.04639543283,1.5
1402607218,3,3.34619736,-0.03912856053,1.5
1402607219,3,3.283252385,-0.1264175488,1.5
1402607220,2,3.04993377,-0.06353380112,1.5
1402607221,3,3.040854903,-0.103514025,1.5
1402607222,2,2.851608557,-0.1858413946,1.5
1402607223,4,3.060407001,-0.05231084499,1.5
1402607224,3,3.04942391,-0.04335964633,1.5
1402607225,5,3.404074108,-0.03215234518,1.5
1402607226,4,3.51242427,0.02608553023,1.5
1402607227,1,3.055619857,-0.08683812431,1.5
1402607228,2,2.863688974,-0.127788961,1.5
1402607229,3,2.888472797,-0.05293917337,1.5
1402607230,3,2.90875047,-0.0434431883,1.5
1402607231,4,3.107159476,0.08961640916,1.5
1402607232,5,3.451312298,0.1277298403,1.5
1402607233,2,3.187437335,0.04525885194,1.5
1402607234,2,2.971539638,-0.1270637643,1.5
1402607235,3,2.976714249,-0.1525185968,1.5
1402607236,5,3.344584386,0.0945682191,1.5
